TIME,GEO,UNIT,SEX,AGE,ICD10,Value,Flag and Footnotes
2001,France,Number,Males,Total,Pneumonia,892.00,
2001,France,Number,Males,Total,Chronic lower respiratory diseases,737.00,
2001,France,Number,Males,Total,Asthma and status asthmaticus,737.00,
2001,France,Number,Males,Total,Diseases of the digestive system (K00-K93),481.00,
2001,France,Number,Males,Total,"Ulcer of stomach, duodenum and jejunum",347.00,
2001,France,Number,Males,Total,Chronic liver disease,545.00,
2001,France,Number,Males,Total,Diseases of the skin and subcutaneous tissue (L00-L99),30.00,
2001,France,Number,Males,Total,Diseases of the musculoskeletal system and connective tissue (M00-M99),471.00,
2001,France,Number,Males,Total,"Rheumatoid arthritis and arthrosis (M05-M06,M15-M19)",892.00,
2001,France,Number,Males,Total,Diseases of the genitourinary system  (N00-N99),737.00,
2001,France,Number,Males,Total,Diseases of kidney and ureter,737.00,
2001,France,Number,Males,Total,"Pregnancy, childbirth and the puerperium (O00-O99)",481.00,
2001,France,Number,Males,Total,Certain conditions originating in the perinatal period (P00-P96),347.00,
2001,France,Number,Males,Total,"Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)",545.00,
2001,France,Number,Males,Total,Congenital malformations of the nervous system,30.00,
2001,France,Number,Males,Total,Congenital malformations of the circulatory system,471.00,
2001,France,Number,Males,Total,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",737.00,
2001,France,Number,Males,Total,Sudden infant death syndrome,481.00,
2001,France,Number,Males,Total,Ill-defined and unknown causes of mortality,347.00,
2001,France,Number,Males,Total,External causes of morbidity and mortality (V01-Y89),545.00,
2001,France,Number,Males,Total,Accidents,30.00,
2001,France,Number,Males,Total,Transport accidents (V01-V99),471.00,
2001,France,Number,Males,Total,Falls,892.00,
2001,France,Number,Males,Total,Accidental poisoning by and exposure to noxious substances,737.00,
2001,France,Number,Males,Total,Intentional self-harm,80.00,
2001,France,Number,Males,Total,Assault,737.00,
2001,France,Number,Males,Total,Event of undetermined intent,481.00,
2001,France,Number,Females,Total,All causes of death (A00-Y89) excluding S00-T98,347.00,
2001,France,Number,Females,Total,Certain infectious and parasitic diseases (A00-B99),545.00,
2001,France,Number,Females,Total,Tuberculosis,30.00,
2001,France,Number,Females,Total,Meningococcal infection,471.00,
2001,France,Number,Females,Total,Viral hepatitis,892.00,
2001,France,Number,Females,Total,Human immunodeficiency virus [HIV] disease,737.00,
2001,France,Number,Females,Total,Neoplasms,30.00,
2001,France,Number,Females,Total,Malignant neoplasms (C00-C97),471.00,
2001,France,Number,Females,Total,"Malignant neoplasm of lip, oral cavity, pharynx",737.00,
2001,France,Number,Females,Total,Malignant neoplasm of oesophagus,481.00,
2001,France,Number,Females,Total,Malignant neoplasm of stomach,347.00,
2001,France,Number,Females,Total,Malignant neoplasm of colon,545.00,
2001,France,Number,Females,Total,"Malignant neoplasm of rectosigmoid junction, rectum, anus and anal canal",30.00,
2001,France,Number,Females,Total,Malignant neoplasm of liver and intrahepatic bile ducts,471.00,
2001,France,Number,Females,Total,Malignant neoplasm of pancreas,892.00,
2001,France,Number,Females,Total,"Malignant neoplasm of larynx,  trachea, bronchus and lung",737.00,
2001,France,Number,Females,Total,Malignant melanoma of skin,80.00,
2001,France,Number,Females,Total,Malignant neoplasm of breast,737.00,
2001,France,Number,Females,Total,Malignant neoplasm of cervix uteri,481.00,
2001,France,Number,Females,Total,Malignant neoplasm of other parts of uterus,347.00,
2001,France,Number,Females,Total,Malignant neoplasm of ovary,545.00,
2001,France,Number,Females,Total,Malignant neoplasm of prostate,30.00,
2001,France,Number,Females,Total,"Malignant neoplasm of kidney, except renal pelvis",30.00,
2001,France,Number,Females,Total,Malignant neoplasm of bladder,471.00,
2001,France,Number,Females,Total,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",737.00,
2001,France,Number,Females,Total,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,481.00,
2001,France,Number,Females,Total,"Endocrine, nutritional and metabolic diseases (E00-E90)",347.00,
2001,France,Number,Females,Total,Diabetes mellitus,545.00,
2001,France,Number,Females,Total,Mental and behavioural disorders (F00-F99),30.00,
2001,France,Number,Females,Total,Mental and behavioural disorders due to use of alcohol,471.00,
2001,France,Number,Females,Total,"Drug dependence, toxicomania (F11-F16, F18-F19)",892.00,
2001,France,Number,Females,Total,Diseases of the nervous system and the sense organs (G00-H95),737.00,
2001,France,Number,Females,Total,Meningitis,80.00,
2001,France,Number,Females,Total,Diseases of the circulatory system (I00-I99),737.00,
2001,France,Number,Females,Total,Ischaemic heart diseases,481.00,
2001,France,Number,Females,Total,"Other heart diseases (I30-I33, I39-I52)",347.00,
